sample	cluster	cell_type
APO_3	0	Tumor
APO_3	1	myCAF
APO_3	2	iCAF
APO_3	3	Myeloid
APO_3	4	Tumor
APO_3	5	Endothelial
APO_3	6	Tumor
APO_3	7	T
APO_3	8	iCAF
APO_3	9	Pericyte
APO_3	10	Cycling_Tumor
APO_3	11	Tumor
APO_3	12	Myeloid
APO_3	13	Adipocyte
APO_3	14	Mast
APO_3	15	Myeloid
APO_3	16	Myeloid
APO_3	17	Myeloid
APO_3	18	Plasma
APO_4b	0	Tumor
APO_4b	1	Tumor
APO_4b	2	myCAF
APO_4b	3	iCAF
APO_4b	4	T
APO_4b	5	Myeloid
APO_4b	6	Endothelial
APO_4b	7	Epithelial
APO_4b	8	Epithelial
APO_4b	9	Epithelial
APO_4b	10	B
APO_4b	11	Pericyte
APO_4b	12	Myeloid
APO_4b	13	Cycling_Tumor
APO_4b	14	iCAF
APO_4b	15	pDC
APO_4b	16	Plasma
APO_4b	17	Adipocyte
APO_4b	18	Mast
APO_4b	19	Lymph.vessel
APO_5	0	Tumor
APO_5	1	Tumor
APO_5	2	iCAF
APO_5	3	Epithelial
APO_5	4	myCAF
APO_5	5	Endothelial
APO_5	6	PVL
APO_5	7	Epithelial
APO_5	8	Myeloid
APO_5	9	T
APO_5	10	Epithelial
APO_5	11	Cycling_Tumor
APO_5	12	Pericyte
APO_5	13	Lymph.vessel
APO_5	14	iCAF
APO_5	15	Mast
APO_5	16	Plasma
APO_5	17	pDC
APO_5	18	Myeloid
APO_5	19	myCAF
APO_6	0	myCAF
APO_6	1	Myeloid
APO_6	2	Tumor
APO_6	3	Tumor
APO_6	4	Tumor
APO_6	5	Pericyte
APO_6	6	Endothelial
APO_6	7	T
APO_6	8	T
APO_6	9	T
APO_6	10	Myeloid
APO_6	11	Cycling_Tumor
APO_6	12	T
APO_6	13	iCAF
APO_6	14	B
APO_6	15	Plasma
APO_6	16	Endothelial
APO_6	17	myCAF
APO_6	18	Tumor
APO_6	19	Mast
APO_6	20	Myeloid
APO_6	21	Adipocyte
APO_6	22	pDC
APO_6	23	Myeloid
APO_6	24	Epithelial
APO_8	0	Tumor
APO_8	1	Tumor
APO_8	2	Epithelial
APO_8	3	Tumor
APO_8	4	Myeloid
APO_8	5	CAF
APO_8	6	Cycling_Tumor
APO_8	7	T
APO_8	8	Myeloid
APO_8	9	T
APO_8	10	Plasma
APO_8	11	Endothelial
APO_8	12	Pericyte
APO_8	13	CAF
APO_8	14	Adipocyte
APO_8	15	B
APO_8	16	Myeloid
APO_8	17	Mast
APO_8	18	Myeloid
APO_8	19	CAF
