sample	cluster	cell_type
CYS_1	0	Tumor_1
CYS_1	1	Tumor_2
CYS_1	2	iCAF
CYS_1	3	myCAF
CYS_1	4	Myeloid
CYS_1	5	Endothelial
CYS_1	6	Tumor_2
CYS_1	7	Epithelial
CYS_1	8	T
CYS_1	9	Epithelial
CYS_1	10	Epithelial
CYS_1	11	Pericyte
CYS_1	12	Cycling_Tumor
CYS_1	13	Plasma
CYS_1	14	Lymph.vessel
CYS_1	15	Mast
CYS_1	16	Dendritic
CYS_1	17	Adipocyte
CYS_1	18	B
CYS_1	19	pDC
CYS_1	20	Myeloid
CYS_3	0	Tumor_1
CYS_3	1	Tumor_2
CYS_3	2	Tumor_2
CYS_3	3	iCAF
CYS_3	4	Cycling_Tumor
CYS_3	5	iCAF
CYS_3	6	Myeloid
CYS_3	7	Endothelial
CYS_3	8	Pericyte
CYS_3	9	Myeloid
CYS_3	10	Plasma
CYS_3	11	T
CYS_3	12	Epithelial
CYS_3	13	Lymph.vessel
CYS_3	14	Epithelial
CYS_3	15	Adipocyte
CYS_3	16	Mixed
CYS_3	17	Mixed
CYS_3	18	Mixed
CYS_3	19	Mixed
CYS_3	20	Mixed
CYS_3	21	Mixed
CYS_3	22	Mixed
CYS_3	23	Mixed
CYS_4	0	Tumor_1
CYS_4	1	myCAF
CYS_4	2	Tumor_2
CYS_4	3	Tumor_2
CYS_4	4	iCAF
CYS_4	5	Myeloid
CYS_4	6	Endothelial
CYS_4	7	Tumor_1
CYS_4	8	Pericyte
CYS_4	9	Cycling_Tumor
CYS_4	10	T
CYS_4	11	Myeloid
CYS_4	12	Epithelial
CYS_4	13	B
CYS_4	14	pDC
CYS_4	15	Myeloid
CYS_4	16	Adipocyte
CYS_4	17	Plasma
CYS_4	18	Lymph.vessel
