sample	cluster	cell_type
ER_pos	0	Tumor
ER_pos	1	Tumor
ER_pos	2	myCAF
ER_pos	3	Myeloid
ER_pos	4	Cycling_Tumor
ER_pos	5	T
ER_pos	6	Tumor
ER_pos	7	iCAF
ER_pos	8	T
ER_pos	9	Endothelial
ER_pos	10	T
ER_pos	11	Tumor
ER_pos	12	Pericyte
ER_pos	13	Myeloid
ER_pos	14	Myeloid
ER_pos	15	Plasma
ER_pos	16	Myeloid
ER_pos	17	Tumor
ER_pos	18	pDC
ER_pos	19	Myeloid
ER_pos	20	T
ER_pos	21	B
ER_pos	22	Mast
ER_pos	23	Lymph.vessel
ER_3	0	Tumor
ER_3	1	myCAF
ER_3	2	iCAF
ER_3	3	Tumor
ER_3	4	Myeloid
ER_3	5	Tumor
ER_3	6	T
ER_3	7	Tumor
ER_3	8	Endothelial
ER_3	9	Cycling_Tumor
ER_3	10	Tumor
ER_3	11	Pericyte
ER_3	12	Myeloid
ER_3	13	iCAF
ER_3	14	myCAF
ER_3	15	Mast
ER_3	16	T
ER_3	17	Epithelial
ER_3	18	Adipocyte
ER_3	19	Myeloid
ER_3	20	Plasma
ER_6	0	iCAF
ER_6	1	Tumor
ER_6	2	myCAF
ER_6	3	Myeloid
ER_6	4	Endothelial
ER_6	5	Tumor
ER_6	6	Myeloid
ER_6	7	T
ER_6	8	Cycling_Tumor
ER_6	9	Pericyte
ER_6	10	Plasma
ER_6	11	Mast
ER_6	12	Epithelial
ER_6	13	Epithelial
ER_6	14	T
ER_7	0	Tumor
ER_7	1	Tumor
ER_7	2	Tumor
ER_7	3	Myeloid
ER_7	4	CAF
ER_7	5	Tumor
ER_7	6	CAF
ER_7	7	T
ER_7	8	Endothelial
ER_7	9	Cycling_Tumor
ER_7	10	Pericyte
ER_7	11	Myeloid
ER_7	12	Plasma
ER_7	13	Epithelial
ER_7	14	T
ER_7	15	CAF
ER_7	16	Adipocyte
ER_7	17	Mast
ER_8	0	Myeloid
ER_8	1	Tumor
ER_8	2	CAF
ER_8	3	Tumor
ER_8	4	Plasma
ER_8	5	CAF
ER_8	6	T
ER_8	7	Cycling_Tumor
ER_8	8	T
ER_8	9	Plasma
ER_8	10	Tumor
ER_8	11	T
ER_8	12	Tumor
ER_8	13	Myeloid
ER_8	14	Pericyte
ER_8	15	Endothelial
ER_8	16	CAF
ER_8	17	B
ER_8	18	Mast
ER_8	19	Myeloid
ER_8	20	Myeloid
ER_8	21	Plasma
ER_9	0	Tumor
ER_9	1	CAF
ER_9	2	Tumor
ER_9	3	Tumor
ER_9	4	Myeloid
ER_9	5	Tumor
ER_9	6	Cycling_Tumor
ER_9	7	T
ER_9	8	Endothelial
ER_9	9	Pericyte
ER_9	10	CAF
ER_9	11	Endothelial
ER_9	12	Epithelial
ER_9	13	Myeloid
ER_9	14	CAF
ER_9	15	T
ER_9	16	Plasma
ER_9	17	Mast
ER_9	18	B
