sample	cluster	cell_type
IMPC_1	0	Tumor
IMPC_1	1	Tumor
IMPC_1	2	myCAF
IMPC_1	3	Tumor
IMPC_1	4	Myeloid
IMPC_1	5	T
IMPC_1	6	iCAF
IMPC_1	7	Endothelial
IMPC_1	8	Cycling_Tumor
IMPC_1	9	Tumor
IMPC_1	10	Epithelial
IMPC_1	11	Plasma
IMPC_1	12	Pericyte
IMPC_1	13	T
IMPC_1	14	B
IMPC_1	15	Mast
IMPC_1	16	Epithelial
IMPC_1	17	Adipocyte
IMPC_1	18	T
IMPC_1	19	Myeloid
IMPC_1	20	Lymph.vessel
IMPC_1	21	Myeloid
IMPC_1	22	pDC
IMPC_2	0	Tumor
IMPC_2	1	Tumor
IMPC_2	2	Tumor
IMPC_2	3	Cycling_Tumor
IMPC_2	4	myCAF
IMPC_2	5	iCAF
IMPC_2	6	Myeloid
IMPC_2	7	T
IMPC_2	8	Endothelial
IMPC_2	9	Tumor
IMPC_2	10	Pericyte
IMPC_2	11	Plasma
IMPC_2	12	Epithelial
IMPC_2	13	Mast
IMPC_3	0	Tumor
IMPC_3	1	Tumor
IMPC_3	2	myCAF
IMPC_3	3	Myeloid
IMPC_3	4	Endothelial
IMPC_3	5	Epithelial
IMPC_3	6	Tumor
IMPC_3	7	Cycling_Tumor
IMPC_3	8	Tumor
IMPC_3	9	T
IMPC_3	10	Epithelial
IMPC_3	11	Pericyte
IMPC_3	12	iCAF
IMPC_3	13	Mast
IMPC_3	14	Adipocyte
IMPC_3	15	Plasma
IMPC_3	16	Tumor
IMPC_3	17	Endothelial
IMPC_3	18	Endothelial
IMPC_3	19	Myeloid
IMPC_3	20	Tumor
IMPC_4	0	Tumor
IMPC_4	1	Tumor
IMPC_4	2	myCAF
IMPC_4	3	Cycling_Tumor
IMPC_4	4	Tumor
IMPC_4	5	Tumor
IMPC_4	6	iCAF
IMPC_4	7	Myeloid
IMPC_4	8	Myeloid
IMPC_4	9	Endothelial
IMPC_4	10	T
IMPC_4	11	Pericyte
IMPC_4	12	Tumor
IMPC_4	13	Epithelial
IMPC_4	14	Mast
IMPC_4	15	Plasma
IMPC_4	16	Mixed
IMPC_5	0	Tumor
IMPC_5	1	Tumor
IMPC_5	2	Tumor
IMPC_5	3	Tumor
IMPC_5	4	Tumor
IMPC_5	5	myCAF
IMPC_5	6	Cycling_Tumor
IMPC_5	7	myCAF
IMPC_5	8	iCAF
IMPC_5	9	Myeloid
IMPC_5	10	Tumor
IMPC_5	11	T
IMPC_5	12	Endothelial
IMPC_5	13	Myeloid
IMPC_5	14	iCAF
IMPC_5	15	Pericyte
IMPC_5	16	Plasma
IMPC_5	17	Mast
IMPC_5	18	Myeloid
IMPC_5	19	Adipocyte
IMPC_5	20	myCAF
IMPC_5	21	B
IMPC_5	22	Myeloid
IMPC_5	23	Epithelial
IMPC_5	24	Myeloid
IMPC_5	25	Tumor
IMPC_5	26	Tumor
IMPC_6	0	Tumor
IMPC_6	1	Tumor
IMPC_6	2	myCAF
IMPC_6	3	Cycling_Tumor
IMPC_6	4	Myeloid
IMPC_6	5	Endothelial
IMPC_6	6	T
IMPC_6	7	Tumor
IMPC_6	8	iCAF
IMPC_6	9	Myeloid
IMPC_6	10	Tumor
IMPC_6	11	Pericyte
IMPC_6	12	Myeloid
IMPC_6	13	Epithelial
IMPC_6	14	Mast
IMPC_6	15	Plasma
IMPC_8	0	Tumor
IMPC_8	1	Tumor
IMPC_8	2	Tumor
IMPC_8	3	myCAF
IMPC_8	4	Myeloid
IMPC_8	5	Cycling_Tumor
IMPC_8	6	T
IMPC_8	7	Endothelial
IMPC_8	8	Pericyte
IMPC_8	9	iCAF
IMPC_8	10	Tumor
IMPC_8	11	Plasma
IMPC_8	12	Adipocyte
IMPC_8	13	Mast
IMPC_8	14	B
IMPC_8	15	Tumor
IMPC_8	16	Tumor
IMPC_10	0	Tumor
IMPC_10	1	Cycling_Tumor
IMPC_10	2	iCAF
IMPC_10	3	Tumor
IMPC_10	4	Tumor
IMPC_10	5	Tumor
IMPC_10	6	Myeloid
IMPC_10	7	myCAF
IMPC_10	8	T
IMPC_10	9	T
IMPC_10	10	Endothelial
IMPC_10	11	Pericyte
IMPC_10	12	Plasma
IMPC_10	13	Mast
IMPC_10	14	Tumor
IMPC_10	15	iCAF
IMPC_10	16	Epithelial
IMPC_10	17	Myeloid
IMPC_10	18	Mixed
IMPC_10	19	Lymph.vessel
IMPC_11	0	Tumor
IMPC_11	1	Tumor
IMPC_11	2	iCAF
IMPC_11	3	Tumor
IMPC_11	4	Myeloid
IMPC_11	5	myCAF
IMPC_11	6	Endothelial
IMPC_11	7	Pericyte
IMPC_11	8	T
IMPC_11	9	Cycling_Tumor
IMPC_11	10	iCAF
IMPC_11	11	myCAF
IMPC_11	12	Mast
IMPC_11	13	Tumor
IMPC_11	14	B
IMPC_11	15	Plasma
IMPC_11	16	Epithelial
IMPC_11	17	Tumor
IMPC_11	18	Myeloid
IMPC_11	19	Tumor
IMPC_11	20	myCAF
