sample	cluster	cell_type
MED_1	0	Naïve_B
MED_1	1	Plasma
MED_1	2	CD8_T
MED_1	3	myCAF
MED_1	4	Naïve_T
MED_1	5	Myeloid
MED_1	6	Treg
MED_1	7	Tumor
MED_1	8	Myeloid
MED_1	9	Endothelial
MED_1	10	myCAF
MED_1	11	CD8_T
MED_1	12	iCAF
MED_1	13	Pericyte
MED_1	14	pDC
MED_1	15	Naïve_B
MED_1	16	NK
MED_1	17	Cycling_T
MED_1	18	Naïve_B
MED_1	19	Epithelial
MED_1	20	Myeloid
MED_1	21	Myeloid
MED_1	22	Lymph.vessel
MED_1	23	Myeloid
MED_1	24	Myeloid
MED_1	25	Epithelial
MED_1	26	Adipocyte
MED_1	27	Plasma
MED_1	28	Myeloid
MED_1	29	Naïve_T
MED_1	30	Mast
MED_2	0	Tumor
MED_2	1	Naïve_T
MED_2	2	CD8_T
MED_2	3	Myeloid
MED_2	4	Tumor
MED_2	5	Cycling_Tumor
MED_2	6	Myeloid
MED_2	7	Treg
MED_2	8	Plasma
MED_2	9	Naïve_B
MED_2	10	myCAF
MED_2	11	Tumor
MED_2	12	Endothelial
MED_2	13	Tumor
MED_2	14	Myeloid
MED_2	15	CD8_T
MED_2	16	Myeloid
MED_2	17	pDC
MED_2	18	Pericyte
MED_2	19	Epithelial
MED_2	20	Epithelial
MED_2	21	Epithelial
MED_2	22	Myeloid
MED_2	23	Adipocyte
MED_2	24	Endothelial
MED_2	25	Tumor
MED_3	0	Plasma
MED_3	1	Tumor
MED_3	2	Tumor
MED_3	3	Myeloid
MED_3	4	Tumor
MED_3	5	myCAF
MED_3	6	Tumor
MED_3	7	myCAF
MED_3	8	CD8_T
MED_3	9	Treg
MED_3	10	Endothelial
MED_3	11	Myeloid
MED_3	12	Plasma
MED_3	13	CD8_T
MED_3	14	Tumor
MED_3	15	Myeloid
MED_3	16	Pericyte
MED_3	17	Naïve_B
MED_3	18	iCAF
MED_3	19	pDC
MED_3	20	Tumor
MED_3	21	Epithelial
MED_4	0	CD8_T
MED_4	1	Tumor
MED_4	2	myCAF
MED_4	3	Myeloid
MED_4	4	Tumor
MED_4	5	CD8_T
MED_4	6	Treg
MED_4	7	Naïve_B
MED_4	8	Plasma
MED_4	9	Tumor
MED_4	10	Myeloid
MED_4	11	Pericyte
MED_4	12	Endothelial
MED_4	13	Tumor
MED_4	14	pDC
MED_4	15	Myeloid
MED_4	16	Myeloid
MED_4	17	CD8_T
MED_4	18	Adipocyte
MED_4	19	Myeloid
MED_4	20	Mast
MED_5	0	Naïve_T
MED_5	1	Tumor
MED_5	2	Plasma
MED_5	3	Myeloid
MED_5	4	myCAF
MED_5	5	Tumor
MED_5	6	myCAF
MED_5	7	CD8_T
MED_5	8	Naïve_B
MED_5	9	Endothelial
MED_5	10	Tumor
MED_5	11	Myeloid
MED_5	12	CD8_T
MED_5	13	Pericyte
MED_5	14	Treg
MED_5	15	pDC
MED_5	16	Myeloid
MED_5	17	GC_B
MED_5	18	Cycling_T
MED_5	19	Myeloid
MED_5	20	myCAF
MED_5	21	Myeloid
MED_5	22	Myeloid
MED_5	23	Myeloid
MED_5	24	Epithelial
MED_6	0	CD8_T
MED_6	1	Naïve_B
MED_6	2	Naïve_T
MED_6	3	Treg
MED_6	4	myCAF
MED_6	5	Plasma
MED_6	6	Myeloid
MED_6	7	Tumor
MED_6	8	myCAF
MED_6	9	Endothelial
MED_6	10	GC_B
MED_6	11	Myeloid
MED_6	12	iCAF
MED_6	13	Myeloid
MED_6	14	Pericyte
MED_6	15	Cycling_T
MED_6	16	NK
MED_6	17	Plasma
MED_6	18	Myeloid
MED_6	19	pDC
MED_6	20	Adipocyte
MED_6	21	Mast
