sample	cluster	cell_type
MpBC_1	0	Tumor
MpBC_1	1	Tumor
MpBC_1	2	T
MpBC_1	3	Cycling_Tumor
MpBC_1	4	Tumor
MpBC_1	5	Tumor
MpBC_1	6	Plasma
MpBC_1	7	Myeloid
MpBC_1	8	Myeloid
MpBC_1	9	Epithelial
MpBC_1	10	Tumor
MpBC_1	11	Tumor
MpBC_1	12	T
MpBC_1	13	Myeloid
MpBC_1	14	Myeloid
MpBC_1	15	Pericyte
MpBC_1	16	Endothelial
MpBC_1	17	B
MpBC_1	18	Myeloid
MpBC_1	19	Plasma
MpBC_2	0	Tumor_1
MpBC_2	1	Myeloid
MpBC_2	2	Tumor_1
MpBC_2	3	Tumor_1
MpBC_2	4	Tumor_1
MpBC_2	5	Tumor_1
MpBC_2	6	T
MpBC_2	7	Tumor_2
MpBC_2	8	Tumor_2
MpBC_2	9	Tumor_2
MpBC_2	10	Cycling_Tumor
MpBC_2	11	Endothelial
MpBC_2	12	iCAF
MpBC_2	13	Tumor_2
MpBC_2	14	Pericyte
MpBC_2	15	Myeloid
MpBC_2	16	Epithelial
MpBC_2	17	Myeloid
MpBC_2	18	Plasma
MpBC_2	19	Tumor_2
MpBC_2	20	Mast
MpBC_2	21	Tumor_1
MpBC_3	0	Tumor
MpBC_3	1	myCAF
MpBC_3	2	iCAF
MpBC_3	3	Myeloid
MpBC_3	4	T
MpBC_3	5	myCAF
MpBC_3	6	Tumor
MpBC_3	7	Myeloid
MpBC_3	8	Myeloid
MpBC_3	9	Endothelial
MpBC_3	10	iCAF
MpBC_3	11	Pericyte
MpBC_3	12	Epithelial
MpBC_3	13	Plasma
MpBC_3	14	Epithelial
MpBC_3	15	B
MpBC_3	16	Myeloid
MpBC_3	17	T
MpBC_3	18	Myeloid
MpBC_3	19	Epithelial
MpBC_3	20	iCAF
MpBC_3	21	Myeloid
MpBC_3	22	Lymph.vessel
MpBC_3	23	Mast
MpBC_3	24	Adipocyte
MpBC_4	0	Tumor
MpBC_4	1	Myeloid
MpBC_4	2	Tumor
MpBC_4	3	myCAF
MpBC_4	4	myCAF
MpBC_4	5	myCAF
MpBC_4	6	Myeloid
MpBC_4	7	T
MpBC_4	8	iCAF
MpBC_4	9	Myeloid
MpBC_4	10	Endothelial
MpBC_4	11	Tumor
MpBC_4	12	Pericyte
MpBC_4	13	Myeloid
MpBC_4	14	myCAF
MpBC_4	15	Plasma
MpBC_4	16	Tumor
MpBC_4	17	Adipocyte
MpBC_4	18	Mast
MpBC_4	19	pDC
MpBC_4	20	B
MpBC_4	21	myCAF
MpBC_4	22	Myeloid
MpBC_4	23	iCAF
MpBC_5	0	Tumor
MpBC_5	1	myCAF
MpBC_5	2	myCAF
MpBC_5	3	iCAF
MpBC_5	4	myCAF
MpBC_5	5	Tumor
MpBC_5	6	Myeloid
MpBC_5	7	Endothelial
MpBC_5	8	Tumor
MpBC_5	9	Cycling_Tumor
MpBC_5	10	Myeloid
MpBC_5	11	Pericyte
MpBC_5	12	Adipocyte
MpBC_5	13	T
MpBC_5	14	myCAF
MpBC_5	15	Mast
MpBC_5	16	Plasma
MpBC_5	17	Myeloid
MpBC_6	0	Myeloid
MpBC_6	1	Tumor_Mes
MpBC_6	2	Tumor_Mes
MpBC_6	3	Cycling_Tumor
MpBC_6	4	Tumor_Adi
MpBC_6	5	Tumor_Mes
MpBC_6	6	Tumor_Mes
MpBC_6	7	Myeloid
MpBC_6	8	Endothelial
MpBC_6	9	Myeloid
MpBC_6	10	LP
MpBC_6	11	T
MpBC_6	12	iCAF
MpBC_6	13	Adipocyte
MpBC_6	14	PVL
MpBC_6	15	Basal
MpBC_6	16	Myeloid
MpBC_6	17	Tumor_Mes
MpBC_6	18	Pericyte
MpBC_6	19	Mast
MpBC_6	20	Plasma
MpBC_6	21	ML
MpBC_6	22	T
MpBC_6	23	pDC
MpBC_6	24	Mixed
MpBC_7	0	Tumor_1
MpBC_7	1	Tumor_1
MpBC_7	2	Tumor_1
MpBC_7	3	Tumor_1
MpBC_7	4	Tumor_1
MpBC_7	5	Tumor_1
MpBC_7	6	Myeloid
MpBC_7	7	Myeloid
MpBC_7	8	Cycling_Tumor
MpBC_7	9	Endothelial
MpBC_7	10	Tumor_1
MpBC_7	11	Endothelial
MpBC_7	12	Cycling_Tumor
MpBC_7	13	iCAF
MpBC_7	14	T
MpBC_7	15	Tumor_1
MpBC_7	16	Myeloid
MpBC_7	17	Myeloid
MpBC_7	18	Myeloid
MpBC_7	19	Tumor_1
MpBC_7	20	Mast
MpBC_7	21	Epithelial
MpBC_7	22	Mixed
MpBC_8	0	Tumor
MpBC_8	1	Cycling_Tumor
MpBC_8	2	Tumor
MpBC_8	3	Tumor
MpBC_8	4	Tumor
MpBC_8	5	myCAF
MpBC_8	6	Tumor
MpBC_8	7	Muscle
MpBC_8	8	Myeloid
MpBC_8	9	Pericyte
MpBC_8	10	Myeloid
MpBC_8	11	Tumor
MpBC_8	12	Endothelial
MpBC_8	13	myCAF
MpBC_8	14	Endothelial
MpBC_8	15	Tumor
MpBC_8	16	iCAF
MpBC_8	17	myCAF
MpBC_8	18	Pericyte
MpBC_8	19	T
MpBC_8	20	Tumor
MpBC_8	21	Adipocyte
MpBC_8	22	Muscle
MpBC_8	23	Mixed
MpBC_9	0	Tumor
MpBC_9	1	Cycling_Tumor
MpBC_9	2	Plasma
MpBC_9	3	Tumor
MpBC_9	4	T
MpBC_9	5	Myeloid
MpBC_9	6	T
MpBC_9	7	Tumor
MpBC_9	8	T
MpBC_9	9	Myeloid
MpBC_9	10	Tumor
MpBC_9	11	myCAF
MpBC_9	12	Tumor
MpBC_9	13	Endothelial
MpBC_9	14	Myeloid
MpBC_9	15	Epithelial
MpBC_9	16	Pericyte
MpBC_9	17	Myeloid
MpBC_9	18	Myeloid
MpBC_9	19	B
MpBC_9	20	Tumor
MpBC_9	21	Myeloid
MpBC_9	22	Adipocyte
MpBC_9	23	T
MpBC_9	24	T
MpBC_9	25	Plasma
MpBC_9	26	Epithelial
