sample	cluster	cell_type
PLC_2	0	Tumor
PLC_2	1	T
PLC_2	2	Myeloid
PLC_2	3	iCAF
PLC_2	4	Tumor
PLC_2	5	Tumor
PLC_2	6	myCAF
PLC_2	7	Cycling_Tumor
PLC_2	8	Tumor
PLC_2	9	Endothelial
PLC_2	10	Tumor
PLC_2	11	Pericyte
PLC_2	12	Plasma
PLC_2	13	Adipocyte
PLC_2	14	T
PLC_2	15	Epithelial
PLC_2	16	Tumor
PLC_2	17	T
PLC_2	18	B
PLC_2	19	Mast
PLC_2	20	Dendritic
PLC_2	21	pDC
PLC_2	22	Epithelial
PLC_3	0	myCAF
PLC_3	1	Tumor
PLC_3	2	Myeloid
PLC_3	3	iCAF
PLC_3	4	T
PLC_3	5	Tumor
PLC_3	6	myCAF
PLC_3	7	Endothelial
PLC_3	8	Epithelial
PLC_3	9	Tumor
PLC_3	10	Epithelial
PLC_3	11	Cycling_Tumor
PLC_3	12	Pericyte
PLC_3	13	Mast
PLC_3	14	Plasma
PLC_3	15	B
PLC_3	16	Adipocyte
PLC_3	17	Dendritic
PLC_4	0	Tumor
PLC_4	1	myCAF
PLC_4	2	iCAF
PLC_4	3	Tumor
PLC_4	4	Myeloid
PLC_4	5	Endothelial
PLC_4	6	T
PLC_4	7	Pericyte
PLC_4	8	myCAF
PLC_4	9	Plasma
PLC_4	10	B
PLC_4	11	Epithelial
PLC_4	12	Cycling_Tumor
PLC_4	13	Mast
PLC_7	0	Tumor
PLC_7	1	iCAF
PLC_7	2	Tumor
PLC_7	3	myCAF
PLC_7	4	Myeloid
PLC_7	5	Tumor
PLC_7	6	Endothelial
PLC_7	7	Tumor
PLC_7	8	Cycling_Tumor
PLC_7	9	T
PLC_7	10	Myeloid
PLC_7	11	Epithelial
PLC_7	12	Epithelial
PLC_7	13	Pericyte
PLC_7	14	Plasma
PLC_7	15	iCAF
PLC_7	16	Tumor
PLC_7	17	Mast
PLC_7	18	pDC
PLC_7	19	B
PLC_7	20	Tumor
PLC_7	21	Endothelial
