sample	cluster	cell_type
ER_neg	0	Tumor
ER_neg	1	Tumor
ER_neg	2	Tumor
ER_neg	3	Tumor
ER_neg	4	Myeloid
ER_neg	5	Cycling_Tumor
ER_neg	6	Myeloid
ER_neg	7	myCAF
ER_neg	8	T
ER_neg	9	Myeloid
ER_neg	10	Myeloid
ER_neg	11	Endothelial
ER_neg	12	T
ER_neg	13	Plasma
ER_neg	14	iCAF
ER_neg	15	Pericyte
ER_neg	16	T
ER_neg	17	Myeloid
ER_neg	18	T
ER_neg	19	T
ER_neg	20	Tumor
ER_neg	21	Myeloid
TNBC_1	0	Tumor
TNBC_1	1	Myeloid
TNBC_1	2	Tumor
TNBC_1	3	T
TNBC_1	4	Myeloid
TNBC_1	5	Endothelial
TNBC_1	6	myCAF
TNBC_1	7	iCAF
TNBC_1	8	Cycling_Tumor
TNBC_1	9	Pericyte
TNBC_1	10	Adipocyte
TNBC_1	11	iCAF
TNBC_1	12	Tumor
TNBC_1	13	Plasma
TNBC_1	14	T
TNBC_1	15	Myeloid
TNBC_1	16	Mast
TNBC_1	17	B
TNBC_1	18	pDC
TNBC_5	0	myCAF
TNBC_5	1	Tumor
TNBC_5	2	Myeloid
TNBC_5	3	T
TNBC_5	4	iCAF
TNBC_5	5	Tumor
TNBC_5	6	Myeloid
TNBC_5	7	Tumor
TNBC_5	8	Cycling_Tumor
TNBC_5	9	Endothelial
TNBC_5	10	Plasma
TNBC_5	11	T
TNBC_5	12	iCAF
TNBC_5	13	T
TNBC_5	14	Pericyte
TNBC_5	15	Epithelial
TNBC_5	16	B
TNBC_5	17	pDC
TNBC_5	18	Adipocyte
TNBC_5	19	iCAF
TNBC_5	20	Mast
TNBC_5	21	Tumor
TNBC_5	22	Myeloid
TNBC_6	0	Tumor
TNBC_6	1	myCAF
TNBC_6	2	Tumor
TNBC_6	3	Myeloid
TNBC_6	4	Cycling_Tumor
TNBC_6	5	T
TNBC_6	6	T
TNBC_6	7	Tumor
TNBC_6	8	Tumor
TNBC_6	9	Tumor
TNBC_6	10	iCAF
TNBC_6	11	Plasma
TNBC_6	12	myCAF
TNBC_6	13	Endothelial
TNBC_6	14	B
TNBC_6	15	Pericyte
TNBC_6	16	Epithelial
TNBC_6	17	Myeloid
TNBC_6	18	pDC
TNBC_6	19	Myeloid
TNBC_6	20	Myeloid
TNBC_6	21	T
TNBC_6	22	Adipocyte
TNBC_7	0	myCAF
TNBC_7	1	Myeloid
TNBC_7	2	Tumor
TNBC_7	3	iCAF
TNBC_7	4	Tumor
TNBC_7	5	Tumor
TNBC_7	6	Cycling_Tumor
TNBC_7	7	Plasma
TNBC_7	8	T
TNBC_7	9	Tumor
TNBC_7	10	myCAF
TNBC_7	11	Tumor
TNBC_7	12	Endothelial
TNBC_7	13	Mast
TNBC_7	14	Pericyte
TNBC_7	15	T
TNBC_7	16	Myeloid
TNBC_7	17	Epithelial
TNBC_7	18	B
TNBC_9	0	Tumor
TNBC_9	1	Tumor
TNBC_9	2	Myeloid
TNBC_9	3	CAF
TNBC_9	4	Cycling_Tumor
TNBC_9	5	Tumor
TNBC_9	6	T
TNBC_9	7	T
TNBC_9	8	Endothelial
TNBC_9	9	Cycling_Tumor
TNBC_9	10	Tumor
TNBC_9	11	CAF
TNBC_9	12	Plasma
TNBC_9	13	Pericyte
TNBC_9	14	T
TNBC_9	15	B
TNBC_9	16	Tumor
TNBC_9	17	Epithelial
TNBC_9	18	Epithelial
TNBC_9	19	Myeloid
TNBC_9	20	Adipocyte
TNBC_9	21	Myeloid
TNBC_9	22	Myeloid
TNBC_9	23	Myeloid
TNBC_9	24	Lymph.vessel
