SampleID	Subtype	Proseg	hcut	vcut	resCell	resGrid	height	width	outWidth	cutGrid
APO_3	APO	APO_3	30	60	0.8	0.2	9	9	95%	100
APO_4b	APO	APO_4b	30	60	0.8	0.2	9	9	95%	100
APO_5	APO	APO_5	30	60	0.8	0.2	9	9	95%	100
APO_6	APO	APO_6	30	60	0.8	0.2	9	9	95%	100
APO_8	APO	APO_8	30	60	0.8	0.2	9	9	95%	100
CYS_1	CYS	CYS_1	30	60	0.5	0.2	9	9	95%	150
CYS_3	CYS	CYS_3	40	90	0.5	0.2	9	9	95%	150
CYS_4	CYS	CYS_4	30	60	0.5	0.2	9	9	95%	150
ER_pos	ER	ER_pos	30	60	0.8	0.2	9	9	95%	100
ER_3	ER	ER_3	30	60	0.7	0.2	9	9	95%	100
ER_6	ER	ER_6	30	60	0.7	0.2	9	9	95%	100
ER_7	ER	ER_7	30	60	0.8	0.2	9	9	95%	100
ER_8	ER	ER_8	30	60	1.2	0.2	9	9	95%	100
ER_9	ER	ER_9	30	60	0.8	0.2	9	9	95%	100
IMPC_1	IMPC	IMPC_1	30	60	0.8	0.2	9	8	90%	100
IMPC_2	IMPC	IMPC_2	30	60	0.7	0.2	9	8	90%	100
IMPC_3	IMPC	IMPC_3	30	60	0.7	0.2	7	10	100%	100
IMPC_4	IMPC	IMPC_4	30	60	0.8	0.2	9	8	90%	100
IMPC_5	IMPC	IMPC_5	30	60	1.2	0.2	7	10	100%	100
IMPC_6	IMPC	IMPC_6	30	60	0.7	0.2	9	8	90%	100
IMPC_8	IMPC	IMPC_8	30	60	0.7	0.3	9	8	90%	100
IMPC_10	IMPC	IMPC_10	30	60	0.7	0.2	9	8	90%	100
IMPC_11	IMPC	IMPC_11	30	60	0.7	0.2	9	8	90%	100
MED_1	MED	MED_1	30	60	0.8	0.2	8	10	100%	100
MED_2	MED	MED_2	30	60	0.8	0.2	8	10	100%	100
MED_3	MED	MED_3	30	60	0.8	0.2	7	10	100%	100
MED_4	MED	MED_4	30	60	0.8	0.2	9	10	100%	100
MED_5	MED	MED_5	30	60	1	0.2	11	9	90%	100
MED_6	MED	MED_6	30	60	0.8	0.2	9	9	95%	100
MpBC_1	MpBC	MpBC_1	30	60	0.8	0.2	9	9	95%	100
MpBC_2	MpBC	MpBC_2	30	60	1	0.2	9	9	95%	100
MpBC_3	MpBC	MpBC_3	30	60	0.8	0.2	9	9	95%	100
MpBC_6	MpBC	MpBC_6	30	60	0.8	0.2	9	9	95%	100
MpBC_7	MpBC	MpBC_7	30	60	0.8	0.2	9	9	95%	100
MpBC_8	MpBC	MpBC_8	30	60	0.8	0.2	9	9	95%	100
MpBC_9	MpBC	MpBC_9	30	60	0.8	0.2	9	9	95%	100
MpBC_14	MpBC	MpBC_14	30	60	0.8	0.2	9	9	95%	100
MpBC_11	MpBC	MpBC_11	30	60	0.8	0.2	9	9	95%	100
MpBC_10	MpBC	MpBC_10	30	60	0.8	0.2	9	9	95%	100
MpBC_12	MpBC	MpBC_12	30	60	0.8	0.2	9	9	95%	100
MpBC_4	MpBC	MpBC_4	30	60	0.8	0.2	9	9	95%	100
MpBC_5	MpBC	MpBC_5	30	60	0.8	0.2	9	9	95%	100
PLC_2	PLC	PLC_2	30	60	0.7	0.2	9	9	95%	100
PLC_3	PLC	PLC_3	30	60	0.5	0.2	7	10	100%	100
PLC_4	PLC	PLC_4	30	60	0.5	0.2	9	8	90%	100
PLC_7	PLC	PLC_7	30	60	0.5	0.2	9	8	90%	100
ER_neg	TNBC	ER_neg	30	60	0.8	0.2	9	8	90%	100
TNBC_1	TNBC	TNBC_1	30	60	0.5	0.2	9	9	95%	100
TNBC_5	TNBC	TNBC_5	30	60	0.8	0.2	9	9	95%	100
TNBC_6	TNBC	TNBC_6	30	60	0.8	0.2	9	9	95%	100
TNBC_7	TNBC	TNBC_7	30	60	0.8	0.2	9	9	95%	100
TNBC_9	TNBC	TNBC_9	30	60	0.8	0.2	9	9	95%	100
