Sample	Run	Region
APO_2	20241108__032310__20241108_G000346_B21_XEN	output-XETG00068__0040595__Region_3__20241108__032340
APO_4	20241111__044219__20241111_G000346_Batch21_XEN_2	output-XETG00068__0040407__Region_1__20241111__044248
APO_3	20241111__044219__20241111_G000346_Batch21_XEN_2	output-XETG00068__0040404__Region_2__20241111__044248
APO_4b	20250411__012800__20250411_G346_Batch25_XEN	output-XETG00068__0043264__Region_1__20250411__012833
APO_5	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069599__Region_2__20250925__040603
APO_6	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069599__Region_4__20250925__040603
APO_7	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069599__Region_5__20250925__040603
APO_9	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069927__Region_5__20250925__040603
CYS_1	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069599__Region_3__20250925__040603
CYS_3	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069599__Region_1__20250925__040603
CYS_4	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069927__Region_6__20250925__040603
ER_pos	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028448__Region_5__20250704__025259
ER_6	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069927__Region_1__20250925__040603
ER_3	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069927__Region_4__20250925__040603
IMPC_5	20250411__012800__20250411_G346_Batch25_XEN	output-XETG00068__0043160__Region_2__20250411__012833
IMPC_3	20250411__012800__20250411_G346_Batch25_XEN	output-XETG00068__0043160__Region_3__20250411__012833
IMPC_1	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028331__Region_1__20250704__025259
IMPC_2	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028331__Region_2__20250704__025259
IMPC_4	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028331__Region_3__20250704__025259
IMPC_6	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028331__Region_4__20250704__025259
IMPC_8	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028331__Region_5__20250704__025259
IMPC_10	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028331__Region_6__20250704__025259
IMPC_11	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028448__Region_1__20250704__025259
MED_2	20241114__054303__20241411_G000346_BATCH22_XEN	output-XETG00068__0040015__Region_2__20241114__054345
MED_3	20241114__054303__20241411_G000346_BATCH22_XEN	output-XETG00068__0040015__Region_1__20241114__054345
MED_4	20241114__054303__20241411_G000346_BATCH22_XEN	output-XETG00068__0040015__Region_3__20241114__054345
MED_1	20241114__054303__20241411_G000346_BATCH22_XEN	output-XETG00068__0040018__Region_3__20241114__054345
MED_5	20241114__054303__20241411_G000346_BATCH22_XEN	output-XETG00068__0040018__Region_1__20241114__054344
MED_6	20241114__054303__20241411_G000346_BATCH22_XEN	output-XETG00068__0040018__Region_2__20241114__054345
MpBC_1	20241108__032310__20241108_G000346_B21_XEN	output-XETG00068__0040595__Region_1__20241108__032340
MpBC_2	20241108__032310__20241108_G000346_B21_XEN	output-XETG00068__0040595__Region_2__20241108__032340
MpBC_3	20241108__032310__20241108_G000346_B21_XEN	output-XETG00068__0040598__Region_1__20241108__032340
MpBC_6	20241108__032310__20241108_G000346_B21_XEN	output-XETG00068__0040598__Region_2__20241108__032340
MpBC_7	20241111__044219__20241111_G000346_Batch21_XEN_2	output-XETG00068__0040407__Region_2__20241111__044248
MpBC_8	20241111__044219__20241111_G000346_Batch21_XEN_2	output-XETG00068__0040407__Region_3__20241111__044248
MpBC_9	20241111__044219__20241111_G000346_Batch21_XEN_2	output-XETG00068__0040404__Region_1__20241111__044248
MpBC_14	20241114__054303__20241411_G000346_BATCH22_XEN	output-XETG00068__0040018__Region_4__20241114__054345
MpBC_11	20250411__012800__20250411_G346_Batch25_XEN	output-XETG00068__0043264__Region_2__20250411__012833
MpBC_10	20250411__012800__20250411_G346_Batch25_XEN	output-XETG00068__0043264__Region_3__20250411__012833
MpBC_4	Xenium_Pilot_Human_Breast_2	output-XETG00068__0003647__Region_1__20230727__025552
TNBC_7	Xenium_Pilot_Human_Breast_2	output-XETG00068__0003647__Region_2__20230727__025552
TNBC_8	Xenium_Pilot_Human_Breast_2	output-XETG00068__0003647__Region_3__20230727__025552
MpBC_5	Xenium_Pilot_Human_Breast_2	output-XETG00068__0003647__Region_4__20230727__025552
TNBC_8	Xenium_Pilot_Human_Breast_2	output-XETG00068__0003647__Region_3__20230727__025552
PLC_4	20250411__012800__20250411_G346_Batch25_XEN	output-XETG00068__0043160__Region_1__20250411__012833
PLC_2	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028448__Region_2__20250704__025259
PLC_3	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028448__Region_3__20250704__025259
ER_neg	20250704__025155__20250704_G000346_Batch28_XEN	output-XETG00068__0028448__Region_4__20250704__025259
TNBC_6	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069927__Region_2__20250925__040603
TNBC_5	20250925__040505__20250925_G346_Batch30_XEN	output-XETG00068__0069927__Region_3__20250925__040603
