CellType	Gene
iCAF	PLA2G2A
iCAF	ABCA8
iCAF	APOD
iCAF	PI16
iCAF	OGN
iCAF	C7
iCAF	CXCL12
iCAF	PTGDS
iCAF	C3
iCAF	CFD
iCAF	CD34
iCAF	TNXB
iCAF	ABCA10
iCAF	ADH1B
iCAF	ABCA6
iCAF	DCN
iCAF	CCDC80
iCAF	PDGFRA
iCAF	PDGFRB
iCAF	IL6
iCAF	SFRP1
iCAF	IGF1
iCAF	FBLN1
iCAF	DPP4
iCAF	CXCL8
iCAF	CXCL14
iCAF	LIF
myCAF	SFRP2
myCAF	POSTN
myCAF	COMP
myCAF	COL10A1
myCAF	MMP11
myCAF	COL11A1
myCAF	INHBA
myCAF	LOXL2
myCAF	SDC1
myCAF	COL3A1
myCAF	COL5A2
myCAF	FN1
myCAF	COL8A1
myCAF	LRRC15
myCAF	COL12A1
myCAF	COL1A2
myCAF	ASPN
myCAF	COL5A1
myCAF	MMP14
myCAF	COL1A1
myCAF	FAP
myCAF	LOX
myCAF	SPARC
myCAF	CTHRC1
myCAF	ACTA2
myCAF	MMP13
myCAF	THY1
myCAF	LUM
myCAF	GJB2
myCAF	LOXL1
myCAF	MMP2
myCAF	BGN
myCAF	HSPG2
myCAF	ENG
myCAF	MMP12
apCAF	CCL5
apCAF	C1QA
apCAF	C1QC
apCAF	CD74
apCAF	CD24
apCAF	CIITA
apCAF	CA9
apCAF	EGLN3
apCAF	SRGN
apCAF	C1QB
apCAF	SPINT2
apCAF	IL1B
apCAF	APOC1
apCAF	SEMA3B
apCAF	CD52
apCAF	PTPRC
apCAF	SCN7A
apCAF	RARRES1
apCAF	PERP
apCAF	UPK3B
apCAF	ANK3
apCAF	KRT18
apCAF	MSLN
apCAF	KRT19
apCAF	LGI4
apCAF	HCST
apCAF	CD37
apCAF	S100B
apCAF	SERPINA1
FRC	PTGDS
FRC	CXCL10
FRC	PAPLN
FRC	VCAM1
FRC	OSMR
FRC	PDPN
FRC	CCL21
FRC	CXCL9
FRC	CXCL11
FRC	CXCL13
FRC	SLIT2
FRC	FDCSP
FRC	IL7
FRC	IL33
FRC	CCL19
FRC	RBP5
FRC	TNFSF13B
FRC	CCL11
FRC	ICAM1
cCAF	HMGB2
cCAF	CENPF
cCAF	RRM2
cCAF	CCNB1
cCAF	CDK1
cCAF	HELLS
cCAF	MKI67
cCAF	NUSAP1
cCAF	TOP2A
cCAF	BIRC5
cCAF	TYMS
cCAF	PCNA
cCAF	TPX2
cCAF	UBE2C
cCAF	MCM5
cCAF	CENPM
