Subtype	Step	Cluster
ER	Immune_T	4
ER	Immune_T	8
ER	Immune_T	11
ER	Immune_B_Plasma	2
ER	Immune_B_Plasma	6
TNBC	Tumour	7
TNBC	Tumour	8
TNBC	Stroma	8
TNBC	Immune_Myeloid	0
TNBC	Immune_Myeloid	8
TNBC	Immune_Myeloid	13
TNBC	Immune_T	3
TNBC	Immune_T	8
TNBC	Immune_T	10
TNBC	Immune_B_Plasma	3
TNBC	Immune_B_Plasma	4
MED	Tumour	6
MED	Tumour	7
MED	Immune_Myeloid	7
MED	Immune_Myeloid	8
MED	Immune_T	10
MED	Immune_B_Plasma	5
MED	Immune_B_Plasma	6
MED	Immune_B_Plasma	7
IMPC	Tumour	6
IMPC	Tumour	9
IMPC	Tumour	10
IMPC	Immune	4
IMPC	Immune	9
IMPC	Immune_T	2
IMPC	Immune_T	4
IMPC	Immune_T	5
IMPC	Immune_T	7
IMPC	Immune_B_Plasma	2
IMPC	Immune_B_Plasma	3
IMPC	Immune_B_Plasma	4
IMPC	Immune_B_Plasma	5
IMPC	Immune_B_Plasma	6
IMPC	Immune_Myeloid	2
IMPC	Immune_Myeloid	7
IMPC	Immune_Myeloid	9
CYS	Immune	1
CYS	Immune	14
CYS	Immune_B_Plasma	2
APO	Immune_Myeloid	4
APO	Immune_Myeloid	13
APO	Immune_Myeloid	15
APO	Immune_T	3
APO	Immune_T	9
APO	Immune_B_Plasma	3
APO	Immune_B_Plasma	4
APO	Tumour	7
PLC	Immune_Myeloid	6
PLC	Immune_Myeloid	13
PLC	Immune_T	2
PLC	Immune_T	9
PLC	Immune_B_Plasma	3
PLC	Immune_B_Plasma	4
PLC	Tumour	7
PLC	Tumour	11
MpBC	Stroma	7
MpBC	Stroma	8
MpBC	Stroma	13
MpBC	Immune_T	2
MpBC	Immune_T	5
MpBC	Immune_T	11
MpBC	Immune_Myeloid	5
MpBC	Immune_Myeloid	7
MpBC	Immune_Myeloid	12
MpBC	Tumour	6
