Sample	Run	MT	Resolution
SK01	SK1	15	0.2
SK02	SK1	10	0.2
SK03	SK1	10	0.2
SK04	SK1	10	0.2
SK05	SK2	10	0.2
SK06	SK2	10	0.2
SK07	SK2	10	0.2
SK08	SK2	10	0.2
SK09	SK3	15	0.2
SK10	SK3	15	0.2
SK11	SK3	15	0.2
SK12	SK3	15	0.2
SK13	SK4	15	0.2
SK14	SK4	15	0.2
SK15	SK4	15	0.2
SK16	SK4	15	0.2
SK17	SK5	15	0.2
SK18	SK5	10	0.2
SK19	SK5	15	0.2
SK20	SK5	10	0.2
SK21	SK6	10	0.2
SK22	SK6	10	0.2
SK23	SK6	10	0.2
SK24	SK6	10	0.2
SK25	SK7	10	0.2
SK26	SK7	10	0.2
SK27	SK7	10	0.2
SK28	SK7	10	0.2
SK33	SK9	10	0.2
SK34	SK9	10	0.2
SK35	SK9	10	0.2
SK36	SK9	10	0.2
SK37	SK10	10	0.2
SK38	SK10	10	0.2
SK39	SK10	10	0.2
SK40	SK10	10	0.2
SK41	SK11	10	0.2
SK42	SK11	10	0.2
SK43	SK11	10	0.2
SK44	SK11	10	0.2
SK45	SK12	10	0.2
SK46	SK12	10	0.2
SK47	SK12	10	0.2
SK48	SK12	10	0.2
SK50	SK13	10	0.2
SK51	SK13	10	0.2
SK52	SK13	10	0.2
SK53	SK14	10	0.2
SK54	SK14	10	0.2
SK55	SK14	10	0.2
SK56	SK14	10	0.2
SK57	SK15	10	0.2
SK58	SK15	10	0.2
SK59	SK15	10	0.2
SK60	SK15	10	0.2
SK61	SK16	10	0.2
SK62	SK16	15	0.2
SK63	SK16	15	0.2
SK64	SK16	10	0.2
SK65	SK17	10	0.2
SK66	SK17	10	0.2
SK67	SK17	10	0.2
SK68	SK17	10	0.2
SK69	SK18	10	0.2
SK70	SK18	10	0.2
SK71	SK18	10	0.2
SK72	SK18	10	0.2
SK73	SK19	10	0.2
SK74	SK19	10	0.2
SK75	SK19	15	0.2
SK76	SK19	15	0.2
